# Phase 2 blog plan — Green Plus EXIM
# data_backed=yes rows are anchored to a src/_data/trade-data/*.json file with real (if sometimes low-confidence) sourced figures.
# data_backed=partial rows use verified DGFT-policy facts or verified aggregate totals but lack a full country breakdown.
# data_backed=no rows are qualitative/process/buyer-education posts that don't depend on country trade-data at all, or are flagged for future research before writing.
# Priority: P1 = write in batch 1 (best-sourced, matches brief's seed titles), P2 = batch 2-3, P3 = needs more research first.
slug,language,target_country,primary_keyword,secondary_keywords,search_intent,product_page_to_link,market_page_to_link,data_file,priority,data_backed
coriander-seed-supplier-malaysia,en,MY,Indian coriander seed supplier for Malaysia,"coriander export India price, dhania seed supplier",commercial,/products/spices/,/markets/southeast-asia/,coriander-090921,P2,yes
groundnut-kernels-exporter-india-indonesia,en,ID,groundnut kernels exporter from India to Indonesia,"India peanut export Indonesia, bold java groundnut price",commercial,/products/oilseeds/,/markets/southeast-asia/,groundnut-kernels-120242,P1,yes
pemasok-kacang-tanah-india,id,ID,pemasok kacang tanah dari India,"impor kacang tanah India, harga kacang tanah India",commercial,/products/oilseeds/,/markets/southeast-asia/,groundnut-kernels-120242,P1,yes
nha-cung-cap-nhan-lac-an-do,vi,VN,nhà cung cấp nhân lạc từ Ấn Độ,"nhập khẩu lạc Ấn Độ, giá nhân lạc xuất khẩu",commercial,/products/oilseeds/,/markets/southeast-asia/,groundnut-kernels-120242,P1,yes
groundnut-kernels-supplier-philippines,en,PH,Indian groundnut kernels supplier Philippines,"peanut import Philippines from India, bulk groundnut price",commercial,/products/oilseeds/,/markets/southeast-asia/,groundnut-kernels-120242,P2,yes
guar-gum-exporter-india-usa,en,US,guar gum powder exporter from India to USA,"guar gum price India, industrial grade guar gum supplier",commercial,/products/oilseeds/,/markets/north-america/,guar-gum-130232,P1,yes
guarkernmehl-lieferant-indien,de,DE,Guarkernmehl Lieferant aus Indien,"Guarkernmehl Import Preis, Guar Gum Großhandel Indien",commercial,/products/oilseeds/,/markets/europe/,guar-gum-130232,P2,yes
guar-gum-food-vs-industrial-grade,en,,guar gum food grade vs industrial grade difference,"guar gum viscosity specification, guar gum fracturing fluid",informational,/products/oilseeds/,/markets/,guar-gum-130232,P2,yes
chickpeas-exporter-india-to-uae,en,AE,chickpeas exporter from India to UAE,"kabuli chana export price, desi chickpea supplier Dubai",commercial,/products/pulses/,/markets/middle-east-gcc/,chickpeas-071320,P1,yes
fournisseur-pois-chiches-inde-algerie,fr,DZ,fournisseur de pois chiches d'Inde,"importer pois chiches Inde Algérie, prix pois chiches",commercial,/products/pulses/,/markets/africa/,chickpeas-071320,P2,yes
kabuli-vs-desi-chickpeas-buyer-guide,en,,kabuli vs desi chickpeas specifications for importers,"chickpea calibre sizing 42-44 count, chickpea moisture spec",informational,/products/pulses/,/markets/,chickpeas-071320,P1,yes
masoor-lentils-exporter-india-bangladesh,en,BD,masoor lentils exporter from India to Bangladesh,"red lentil export India price, masoor dal bulk supplier",commercial,/products/pulses/,/markets/south-asia/,lentils-masoor-071340,P1,yes
fish-meal-exporter-india-vietnam,en,VN,Indian fish meal exporter to Vietnam,"fish meal protein 60% price, aquafeed ingredient supplier India",commercial,/products/animal-feed/,/markets/southeast-asia/,fish-meal-230120,P1,yes
nha-cung-cap-bot-ca-an-do,vi,VN,nhà cung cấp bột cá từ Ấn Độ,"nhập khẩu bột cá Ấn Độ, giá bột cá đạm 60",commercial,/products/animal-feed/,/markets/southeast-asia/,fish-meal-230120,P1,yes
dorb-export-ban-lifted-what-buyers-need-to-know,en,,India de-oiled rice bran export ban lifted,"DORB export India 2026, rice bran extraction feed supply",informational,/products/animal-feed/,/markets/,rice-bran-dorb-230240,P1,yes
dehydrated-onion-exporter-india-brazil,en,BR,dehydrated onion exporter from India to Brazil,"dried onion flakes export price, dehydrated onion powder supplier",commercial,/products/dehydrated-products/,/markets/latin-america/,dehydrated-onion-071220,P1,yes
fornecedor-cebola-desidratada-india,pt,BR,fornecedor de cebola desidratada da Índia,"importar cebola desidratada Índia, preço cebola em flocos",commercial,/products/dehydrated-products/,/markets/latin-america/,dehydrated-onion-071220,P1,yes
proveedor-cebolla-deshidratada-india,es,ES,proveedor de cebolla deshidratada de la India,"importar cebolla deshidratada India, precio cebolla en polvo",commercial,/products/dehydrated-products/,/markets/europe/,dehydrated-onion-071220,P2,yes
dehydrated-onion-vs-fresh-onion-mep,en,,dehydrated onion vs fresh onion export from India,"onion MEP minimum export price, dried onion no MEP advantage",informational,/products/dehydrated-products/,/markets/,dehydrated-onion-071220,P1,yes
alphonso-mango-exporter-india-uk,en,GB,Alphonso mango exporter from India to UK,"Kesar mango export price, air freight mango India season",commercial,/products/fresh-fruits/,/markets/europe/,mango-080450,P1,yes
musaddir-mango-hindi-khaleej,ar,AE,مصدر المانجو الهندي إلى الخليج,"استيراد المانجو الهندي, موسم المانجو الهندي",commercial,/products/fresh-fruits/,/markets/middle-east-gcc/,mango-080450,P2,yes
maize-supplier-india-to-nepal,en,NP,bulk maize supplier from India to Nepal,"feed grade maize price India, corn export Nepal border trade",commercial,/products/grains-rice/,/markets/south-asia/,maize-100590,P2,yes
frozen-squid-supplier-india-spain,en,ES,frozen squid supplier from India to Spain,"cuttlefish export India price, squid tubes W/R supplier",commercial,/products/fish-seafood/,/markets/europe/,squid-cuttlefish-030743,P2,yes
proveedor-calamar-congelado-india,es,ES,proveedor de calamar congelado de la India,"importar calamar India precio, sepia congelada proveedor",commercial,/products/fish-seafood/,/markets/europe/,squid-cuttlefish-030743,P2,yes
ginger-exporter-india-morocco,en,MA,Indian ginger exporter to Morocco,"dry ginger export price India, fresh ginger supplier Africa",commercial,/products/fresh-vegetables/,/markets/africa/,ginger-091011,P2,yes
india-spice-export-market-overview-2024,en,,India spice export data by country 2024,"largest spice export India, chilli cumin turmeric export value",informational,/products/spices/,/markets/,red-chilli-090420,P1,yes
